agency_cd	site_no	datetime	698_00060_00003	698_00060_00003_cd	699_80154_00003	699_80154_00003_cd	700_80155_00003	700_80155_00003_cd	701_00010_00001	701_00010_00001_cd	702_00010_00002	702_00010_00002_cd	703_00010_00003	703_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	15266300	2000-08-25	9440	A					12.5	A	11.0	A	12.0	A
USGS	15266300	2000-08-26	9040	A					12.0	A	10.5	A	11.5	A
USGS	15266300	2000-08-27	8940	A					12.0	A	11.0	A	11.5	A
USGS	15266300	2000-08-28	8780	A					12.0	A	11.0	A	11.5	A
USGS	15266300	2000-08-29	8600	A					12.0	A	11.0	A	11.5	A
USGS	15266300	2000-08-30	8450	A					11.0	A	9.5	A	10.0	A
USGS	15266300	2000-08-31	8300	A					10.0	A	8.0	A	9.0	A
USGS	15266300	2000-09-01	8300	A					10.5	A	9.5	A	10.0	A
USGS	15266300	2000-09-02	8280	A					10.5	A	9.0	A	9.5	A
USGS	15266300	2000-09-03	8250	A					11.0	A	9.5	A	10.0	A
USGS	15266300	2000-09-04	8050	A					10.5	A	8.5	A	9.5	A
USGS	15266300	2000-09-05	8000	A					10.5	A	9.5	A	10.0	A
USGS	15266300	2000-09-06	7770	A					11.0	A	10.0	A	10.0	A
USGS	15266300	2000-09-07	7470	A					10.5	A	9.0	A	10.0	A
USGS	15266300	2000-09-08	7170	A					10.5	A	8.5	A	9.5	A
USGS	15266300	2000-09-09	6850	A					10.0	A	8.0	A	9.0	A
USGS	15266300	2000-09-10	6790	A					10.0	A	9.0	A	9.5	A
USGS	15266300	2000-09-11	6730	A					10.5	A	8.5	A	9.5	A
USGS	15266300	2000-09-12	6420	A					10.0	A	8.5	A	9.0	A
USGS	15266300	2000-09-13	6240	A					9.0	A	8.5	A	9.0	A
USGS	15266300	2000-09-14	6100	A					10.0	A	8.5	A	9.0	A
USGS	15266300	2000-09-15	5800	A					9.5	A	8.5	A	9.0	A
USGS	15266300	2000-09-16	5600	A					9.5	A	8.0	A	8.5	A
USGS	15266300	2000-09-17	5340	A					9.0	A	7.5	A	8.5	A
USGS	15266300	2000-09-18	5050	A					9.0	A	7.0	A	8.0	A
USGS	15266300	2000-09-19	4880	A					8.5	A	7.5	A	8.0	A
USGS	15266300	2000-09-20	4730	A					8.5	A	7.5	A	8.0	A
USGS	15266300	2000-09-21	4850	A					10.0	A	8.5	A	9.0	A
USGS	15266300	2000-09-22	5000	A					9.5	A	9.0	A	9.5	A
USGS	15266300	2000-09-23	5190	A					9.5	A	8.0	A	8.5	A
USGS	15266300	2000-09-24	5550	A					9.0	A	8.0	A	8.5	A
USGS	15266300	2000-09-25	5890	A					9.0	A	8.5	A	8.5	A
USGS	15266300	2000-09-26	6040	A					9.0	A	8.0	A	8.5	A
USGS	15266300	2000-09-27	6030	A					8.5	A	7.5	A	8.0	A
USGS	15266300	2000-09-28	5960	A					7.5	A	7.0	A	7.0	A
USGS	15266300	2000-09-29	5820	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-09-30	5730	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-10-01	5640	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-10-02	5550	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-10-03	5490	A					7.0	A	6.5	A	6.5	A
USGS	15266300	2000-10-04	5470	A	7.0	A	103	A	7.0	A	6.5	A	7.0	A
USGS	15266300	2000-10-05	5550	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-10-06	5570	A					7.5	A	6.5	A	7.0	A
USGS	15266300	2000-10-07	5480	A					7.5	A	6.5	A	7.0	A
USGS	15266300	2000-10-08	5160	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-10-09	5050	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-10-10	4950	A					6.0	A	5.0	A	5.5	A
USGS	15266300	2000-10-11	4830	A					6.0	A	5.0	A	5.5	A
USGS	15266300	2000-10-12	4750	A					6.5	A	5.5	A	6.0	A
USGS	15266300	2000-10-13	4700	A					6.0	A	5.0	A	6.0	A
USGS	15266300	2000-10-14	4960	A					6.5	A	5.5	A	6.0	A
USGS	15266300	2000-10-15	4910	A					6.0	A	5.0	A	5.5	A
USGS	15266300	2000-10-16	4800	A					6.0	A	5.5	A	5.5	A
USGS	15266300	2000-10-17	4590	A					6.0	A	5.0	A	5.5	A
USGS	15266300	2000-10-18	4390	A					5.5	A	5.0	A	5.5	A
USGS	15266300	2000-10-19	4290	A					5.5	A	4.0	A	5.0	A
USGS	15266300	2000-10-20	4210	A					5.5	A	4.5	A	5.0	A
USGS	15266300	2000-10-21	4120	A					5.0	A	3.5	A	4.5	A
USGS	15266300	2000-10-22	4140	A					4.5	A	3.5	A	4.0	A
USGS	15266300	2000-10-23	4000	A					5.0	A	4.0	A	4.5	A
USGS	15266300	2000-10-24	3930	A					5.0	A	4.0	A	4.5	A
USGS	15266300	2000-10-25	4030	A					5.0	A	4.5	A	4.5	A
USGS	15266300	2000-10-26	3840	A					4.5	A	4.0	A	4.5	A
USGS	15266300	2000-10-27	3660	A					4.0	A	3.0	A	3.5	A
USGS	15266300	2000-10-28	3500	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-10-29	3380	A					4.0	A	3.0	A	3.5	A
USGS	15266300	2000-10-30	3480	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-10-31	3430	A					4.0	A	2.5	A	3.5	A
USGS	15266300	2000-11-01	3260	A					4.0	A	3.0	A	3.0	A
USGS	15266300	2000-11-02	3170	A					3.0	A	2.5	A	2.5	A
USGS	15266300	2000-11-03	3100	A					3.0	A	2.5	A	3.0	A
USGS	15266300	2000-11-04	2990	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-05	2950	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-11-06	2920	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-07	2850	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-08	2660	A					3.0	A	1.5	A	2.5	A
USGS	15266300	2000-11-09	2700	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-11-10	3030	A					4.0	A	3.0	A	3.5	A
USGS	15266300	2000-11-11	2970	A					4.0	A	2.5	A	3.5	A
USGS	15266300	2000-11-12	2760	A					2.5	A	2.0	A	2.5	A
USGS	15266300	2000-11-13	2880	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-11-14	2870	A					3.0	A	2.5	A	3.0	A
USGS	15266300	2000-11-15	2660	A					2.5	A	1.5	A	2.0	A
USGS	15266300	2000-11-16	2740	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-17	2810	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-18	2730	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-19	2850	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-11-20	2880	A					3.5	A	3.0	A	3.5	A
USGS	15266300	2000-11-21	3020	A					3.5	A	3.0	A	3.0	A
USGS	15266300	2000-11-22	3100	A	7.0	A	59.0	A	3.0	A	2.5	A	3.0	A
USGS	15266300	2000-11-23	3060	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-24	3100	A					2.5	A	1.5	A	2.0	A
USGS	15266300	2000-11-25	2880	A					2.0	A	1.5	A	1.5	A
USGS	15266300	2000-11-26	2690	A					2.0	A	0.5	A	1.0	A
USGS	15266300	2000-11-27	2640	A					2.0	A	1.5	A	2.0	A
USGS	15266300	2000-11-28	2730	A					3.0	A	2.0	A	2.5	A
USGS	15266300	2000-11-29	2980	A					3.5	A	2.5	A	3.0	A
USGS	15266300	2000-11-30	3020	A					3.0	A	2.0	A	3.0	A
USGS	15266300	2000-12-01	2910	A					2.0	A	0.0	A	1.0	A
USGS	15266300	2000-12-02	2880	A					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-12-03	2660	A					1.0	A	0.0	A	0.5	A
USGS	15266300	2000-12-04	2700	A					1.5	A	0.5	A	1.0	A
USGS	15266300	2000-12-05	2890	A					3.0	A	1.5	A	2.0	A
